basin_id,lai_dif,lai_max,ndvi_mean,root_depth_50,root_depth_99,evergreen_needleleaf_tree,evergreen_broadleaf_tree,deciduous_needleleaf_tree,deciduous_broadleaf_tree,mixed_forest,closed_shrubland,open_shrubland,woody_savanna,savanna,grassland,permanent_wetland,cropland,urban_and_built-up_land,cropland_natural_vegetation,snow_and_ice,barren,water_bodies
17456,0.513455772,0.680730633,0.507379248,0.137928994,1.618047337,9.19E-05,0,0,0,0,4.60E-05,0.002769065,0.003688256,0.003722726,0.409752623,0,0,0,0,0.004641917,0.030046074,4.60E-05
18110,1.376236197,1.482632887,0.623579641,0.149765258,1.750375587,0.020696246,0,0.002457338,0.002238908,0.026293515,0.002375427,0.036696246,0.038498294,0.019686007,0.474511945,0.000191126,0,0,0,0.000846416,0.039972696,0.000163823
18139,0.291111116,0.501118823,0.436345298,0.131020408,1.500204082,0,0,0,0,0,0,0,0,0,0.298334148,0,0.00099532,0.00158902,0,0,0,0
18141,0.26118125,0.393740755,0.282451992,0.13,1.5,0,0,0,0,0,0,0,0,0,0.554781913,0,0,0,0,0,0,0
18142,0.381648429,0.513505146,0.355575432,0.130232558,1.500046512,0,0,0,0,0,0,0,0,0,0.56308204,0,0.000221729,0.001396896,0,0,0,0
18144,0.286899389,0.508373527,0.428026879,0.129795571,1.489914821,0,0,0,0,0,0,0,0.000675943,0.000372934,0.260067284,5.05E-05,0.001363541,0.001829709,1.55E-05,0,4.27E-05,0.001324694
18148,0.450817666,0.64582467,0.487040585,0.132101449,1.509347826,4.43E-05,0,0.000299305,4.43E-05,8.87E-05,0,0,0.002239244,0.001773659,0.327883027,0.003713598,0.007648904,0.002693745,0,0.000166281,0.010021173,0.002516379
18150,0.226926751,0.430121595,0.33720766,0.138830769,1.608338462,0,0,0.000177051,0,0,0,0,0.000327544,8.85E-05,0.306049822,0,0.007285636,0.001301323,0,1.77E-05,0.016722438,0
18153,0.417821202,0.533568221,0.315553088,0.134087591,1.536934307,0,0,0,0,0,0,0,0,0,0.588066863,0,0.012188516,0.001663829,0,0,0.010176443,0
18154,0.271148148,0.459111111,0.342091208,0.13,1.5,0,0,0,0,0,0,0,0,0,0.344290657,0,0,0,0,0,0,0
18155,0.773698496,0.965573288,0.543867709,0.141741935,1.646,0,0,0,0,0,0,0,8.25E-05,0.001072077,0.337003134,0,0.007772555,0.001669965,0,0,0.028678047,0
18156,0.666908747,0.880828931,0.510029962,0.155084746,1.831581921,0,0,0,0.000228645,0.000182916,0,0,0.001097494,0.000640205,0.273260777,0,0.002698006,0.000259131,0,0,0.041232242,0
18157,0.203651492,0.410942504,0.292731143,0.138222222,1.584111111,0,0,0,0,0,0,0,0,0,0.295772059,0,0.00903799,0,0,0,0.00658701,0
18158,0.124277574,0.291708075,0.194237386,0.155486726,1.85539823,0,0,0,0,0,0,0,0,0,0.416372935,0,0,0,0,0,0.044750847,0
18159,0.26279547,0.466935521,0.277189666,0.162666667,1.8364,0,0,0,0,0,0,0,8.54E-05,0,0.255059346,0,0.055332593,0,0,0,0.06340193,0
