basin_id,geol_permeability,geol_porosity,ig,pa,sc,su,sm,vi,mt,ss,pi,va,wb,pb,vb,nd,py,ev
17456,-14.17398739,0.136589602,0,0.174726989,0.012480499,0.219968799,0.469578783,0.12324493,0,0,0,0,0,0,0,0,0,0
18110,-14.93395996,0.141132072,0,0.365,0,0,0.635,0,0,0,0,0,0,0,0,0,0,0
18139,-13.56184101,0.191973671,0,0.010752688,0.172043011,0.462365591,0.272401434,0,0,0.082437276,0,0,0,0,0,0,0,0
18141,-13.77457619,0.196949124,0,0.035242291,0,0.669603524,0.211453744,0,0,0.057268722,0,0,0,0.026431718,0,0,0,0
18142,-13.69181728,0.158909097,0,0.144578313,0.072289157,0.43373494,0.23373494,0,0,0.055421687,0,0,0,0.060240964,0,0,0,0
18144,-13.3508358,0.144782618,0,0.098920863,0.21852518,0.432553957,0.146582734,0,0.039568345,0.04676259,0.002697842,0.008093525,0.004496403,0.001798561,0,0,0,0
18148,-13.29708099,0.125766426,0,0.049149338,0.277882798,0.393194707,0.062381853,0,0.141776938,0.04536862,0,0,0.030245747,0,0,0,0,0
18150,-13.39749908,0.167687491,0,0.075286416,0.070376432,0.556464812,0.14893617,0.039279869,0.036006547,0.065466448,0,0,0,0.008183306,0,0,0,0
18153,-13.19285679,0.194428608,0,0.007874016,0.086614173,0.716535433,0.169291339,0,0.019685039,0,0,0,0,0,0,0,0,0
18154,-13,0.219999999,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18155,-13.81578922,0.15171054,0,0.097315436,0.265100671,0.258389262,0.332214765,0,0,0.016778523,0,0,0,0.030201342,0,0,0,0
18156,-13.60879135,0.14945057,0,0.073529412,0.141176471,0.326470588,0.197058824,0.091176471,0,0.079411765,0,0.017647059,0,0.073529412,0,0,0,0
18157,-12.99375057,0.196875021,0,0.048484848,0.012121212,0.939393939,0,0,0,0,0,0,0,0,0,0,0,0
18158,-13.27586079,0.203793108,0,0.07239819,0,0.773755656,0.040723982,0.009049774,0,0.104072398,0,0,0,0,0,0,0,0
18159,-13.13333321,0.218181819,0,0,0,0.868055556,0.131944444,0,0,0,0,0,0,0,0,0,0,0
18160,-13.68571377,0.100300759,0,0.343873518,0.16798419,0.300395257,0.037549407,0,0,0.146245059,0,0.003952569,0,0,0,0,0,0
18161,-16.04999924,0.136428565,0,0.04,0.006153846,0.030769231,0.316923077,0,0,0.606153846,0,0,0,0,0,0,0,0
18162,-14.19345284,0.134464294,0,0.134493671,0.216772152,0,0.588607595,0.058544304,0,0,0,0.001582278,0,0,0,0,0,0
18163,-13,0.219999999,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18164,-13.9333334,0.16561906,0,0.094763092,0.009975062,0.371571072,0.291770574,0.059850374,0,0.172069825,0,0,0,0,0,0,0,0
18165,-13.28493118,0.186986312,0,0.075812274,0.046931408,0.772563177,0.018050542,0,0,0.068592058,0.018050542,0,0,0,0,0,0,0
18166,-13.26984119,0.13142857,0,0.331932773,0.06302521,0.521008403,0.042016807,0,0,0,0.042016807,0,0,0,0,0,0,0
18167,-13.34999943,0.165806472,0,0.194690265,0.115044248,0.690265487,0,0,0,0,0,0,0,0,0,0,0,0
18168,-14.14179134,0.110671654,0,0.256097561,0.136178862,0.290650407,0.012195122,0,0,0.304878049,0,0,0,0,0,0,0,0
18169,-15.59541988,0.08748091,0,0.326086957,0,0.039525692,0.019762846,0,0,0.604743083,0,0,0,0.009881423,0,0,0,0
18170,-15.68214321,0.08714284,0,0.238938053,0,0,0.017699115,0,0,0.699115044,0,0,0,0.044247788,0,0,0,0
18171,-14.95409966,0.070491798,0,0.389010989,0,0.191208791,0.004395604,0,0,0.415384615,0,0,0,0,0,0,0,0
18172,-15.37377167,0.081147537,0,0.395038168,0.007633588,0.020992366,0.082061069,0,0,0.379770992,0,0,0.030534351,0.009541985,0,0.074427481,0,0
18173,-14.54444599,0.168518528,0,0.10619469,0.150442478,0.088495575,0.407079646,0.061946903,0,0.185840708,0,0,0,0,0,0,0,0
18174,-12.99545383,0.203181803,0,0.078651685,0.011235955,0.91011236,0,0,0,0,0,0,0,0,0,0,0,0
18175,-13.83678246,0.09149424,0,0.448071217,0.181008902,0.225519288,0.011869436,0,0,0.133531157,0,0,0,0,0,0,0,0
18176,-13.68212986,0.092886597,0,0.365064695,0.250462107,0.194085028,0.065619224,0,0,0.122920518,0.001848429,0,0,0,0,0,0,0
18177,-13.16009808,0.139802948,0,0.08322325,0.36988111,0.340819022,0.136063408,0,0,0.07001321,0,0,0,0,0,0,0,0
18178,-13.72963047,0.09370371,0,0.377777778,0.165432099,0.037037037,0.281481481,0,0.125925926,0,0,0,0,0.012345679,0,0,0,0
18179,-14.71971607,0.067605652,0,0.577060932,0.007168459,0,0.311827957,0,0,0.093189964,0.010752688,0,0,0,0,0,0,0
18180,-13.72793198,0.082569838,0,0.425406204,0.197932053,0.008862629,0.209748892,0,0.048744461,0.038404727,0,0.053175775,0,0,0,0.017725258,0,0
18181,-12.9118309,0.087311827,0,0.263157895,0.441520468,0.014619883,0.228070175,0.014619883,0.026315789,0,0,0,0,0.011695906,0,0,0,0
18182,-13.53888893,0.079722218,0,0.307116105,0.194756554,0.037453184,0.194756554,0,0.191011236,0,0.074906367,0,0,0,0,0,0,0
18183,-13.67647076,0.130294114,0,0.196721311,0.31147541,0,0.31147541,0,0.180327869,0,0,0,0,0,0,0,0,0
