basin_id,high_prec_freq,high_prec_dur,high_prec_timing,low_prec_freq,low_prec_dur,low_prec_timing,frac_snow_daily,prs_mean,pre_mean,evp_mean,gst_mean,rhu_mean,pet_mean,ssd_mean,win_mean,tem_mean,p_seasonality,aridity
17456,22.82564841,1.250720461,jja,305.5165706,7.603403141,mam,0.377231202,951.2701422,0.637260649,3.566394374,8.907822295,0.6019268,2.209614884,7.956183514,2.816906533,5.449325979,0.062195955,5.596445315
18110,22.29971182,1.258160237,son,309.3559078,7.884718499,mam,0.381878822,957.5109456,0.636142171,3.601406014,9.022568611,0.604196331,2.280930644,7.873876155,3.181534337,5.669280417,0.061111041,5.661322544
18139,21.82636888,1.178977273,son,296.8912104,6.602339181,mam,0.347486184,956.525863,0.926776093,3.655137526,11.28908967,0.575574252,2.312092111,7.915943676,2.154417899,8.072507504,-0.269130811,3.943927291
18141,21.87896254,1.178470255,son,296.6808357,6.589953271,mam,0.347978437,956.495685,0.926722378,3.647246706,11.28778887,0.575559568,2.311504652,7.915834041,2.154666038,8.071642458,-0.273518009,3.935641127
18142,21.87896254,1.178470255,son,296.8912104,6.610070258,mam,0.347978437,956.4870174,0.9271815,3.643379833,11.28736309,0.575555774,2.313900154,7.915834187,2.154614596,8.07131401,0.074828826,3.92952171
18144,21.82636888,1.192528736,jja,293.7355908,6.303611738,son,0.37456164,926.9153735,0.788693125,3.731373673,9.780412327,0.561760166,2.243167429,7.864528907,2.174882811,6.807389547,0.215520018,4.731084317
18148,21.82636888,1.195965418,jja,319.0857349,9.464898596,djf,0.41365799,878.5794312,0.533860415,3.953516764,7.121495434,0.542847334,2.156076065,7.785478862,2.268005056,4.533088717,0.637691932,7.405525213
18150,21.45821326,1.217910448,jja,306.4632565,7.636959371,djf,0.394854435,917.7753271,0.560597954,3.885407264,8.035554685,0.577314054,2.229448502,7.772436124,2.691052946,5.017904726,0.075887032,6.930826694
18153,22.1945245,1.252225519,son,308.3566282,7.714473684,djf,0.403868195,956.5968686,0.647228411,3.756355609,9.000717597,0.603324742,2.33173659,7.871124777,3.183750872,5.662390356,-0.143981642,5.803755749
18154,22.40489914,1.249266862,son,309.3559078,7.853137517,mam,0.404544797,957.5429517,0.646235151,3.745846756,9.025162807,0.603830725,2.338602136,7.875339453,3.196803698,5.68072758,0.064248284,5.796414431
18155,22.24711816,1.247787611,son,309.4085014,7.85447263,mam,0.395358591,957.5310309,0.644674326,3.666115114,9.025710154,0.603697115,2.326721971,7.877090935,3.198021182,5.68306189,0.0626009,5.686770771
18156,22.77305476,1.251445087,son,309.2507205,7.872824632,mam,0.391550463,957.5295852,0.640702071,3.644204363,9.025909438,0.603667086,2.324637917,7.877465528,3.198277134,5.683697726,0.061231047,5.687829848
18157,22.14193084,1.24925816,son,309.3033141,7.884718499,mam,0.388462592,957.5322684,0.642898568,3.667370179,9.025881158,0.603680647,2.336124956,7.877321824,3.198197521,5.683476444,0.061704293,5.704430466
18158,22.98342939,1.234463277,son,308.6721902,7.814913449,djf,0.387585266,958.3461357,0.62405219,3.736893129,9.02390991,0.607644152,2.334239832,7.830321446,3.170200588,5.629422564,0.072174671,5.988109953
18159,22.24711816,1.247787611,son,309.3033141,7.884718499,mam,0.388076029,957.5524187,0.642604266,3.679736765,9.025943113,0.603762045,2.343016611,7.87639717,3.197686482,5.682472789,0.061571832,5.726287487
18160,22.61527378,1.257309942,son,309.5662824,7.935309973,mam,0.382009994,957.5458587,0.636434436,3.638087687,9.02603731,0.603724103,2.330142995,7.876832595,3.19785266,5.683094551,-0.145762192,5.716358959
18161,22.51008646,1.262536873,son,309.7240634,7.958108108,jja,0.380128384,957.5763028,0.636027317,3.616049356,9.025875599,0.603880232,2.304327776,7.875340705,3.195659085,5.680551219,0.057228322,5.685367997
18162,22.51008646,1.258823529,son,309.5662824,7.912634409,mam,0.388039323,957.5365194,0.63765476,3.621067981,9.025984236,0.603690606,2.30501782,7.877193526,3.198096899,5.683482493,-0.146258924,5.678728063
18163,22.56268012,1.250728863,son,308.9351585,7.846461949,djf,0.374169846,957.874227,0.6324173,3.654073079,9.027886734,0.604920699,2.343276378,7.863627575,3.19108282,5.669282006,0.066477358,5.77794611
18164,22.56268012,1.232758621,jja,312.6693084,8.456614509,djf,0.378565494,952.689184,0.530598686,3.683539274,8.810085926,0.615086972,2.282418253,7.655972646,2.974882267,5.314386282,0.166158826,6.942232179
