basin_id,tksatu_l1,tksatu_l2,tksatu_l3,tksatu_l4,tksatu_l5,tksatu_l6,log_k_s_l1,log_k_s_l2,log_k_s_l3,log_k_s_l4,log_k_s_l5,log_k_s_l6,theta_s_l1,theta_s_l2,theta_s_l3,theta_s_l4,theta_s_l5,theta_s_l6,orcdrc_sl7,orcdrc_sl3,orcdrc_sl4,orcdrc_sl5,orcdrc_sl6,orcdrc_sl2,orcdrc_sl1,phihox_sl7,phihox_sl6,phihox_sl5,phihox_sl4,phihox_sl3,phihox_sl2,phihox_sl1,bldfie_sl7,bldfie_sl6,bldfie_sl5,bldfie_sl4,bldfie_sl1,bldfie_sl3,bldfie_sl2,cecsol_sl1,cecsol_sl2,cecsol_sl5,cecsol_sl4,cecsol_sl3,cecsol_sl7,cecsol_sl6,bdticm,pdep,por,clay,sand,silt,grav,som
17456,1.103889465,1.045198441,1.07235527,1.174246192,1.444845676,1.490406394,1.807771683,1.705740094,1.577204227,1.416367173,1.458827615,1.215264201,0.376292735,0.406862408,0.371998072,0.367833018,0.39970842,0.406833619,42.650745,86.28649183,54.58378423,46.97344893,48.42864901,175.2009188,166.3585277,67.24855498,66.55339885,64.50150608,61.79495261,60.42520207,59.66560447,60.10546025,1252.991533,1220.520695,1238.288329,1184.688341,946.9425132,1108.096389,909.0312613,43.93777985,42.7349654,28.1404431,31.12573123,35.65791708,28.76404024,28.06104553,1130.77877,43.23500061,53.65000153,12.63500023,47.97999954,39.38999939,23.84499931,5.46999979
18110,0.941724777,0.965005755,1.006347775,1.037417293,1.120815158,1.143970132,1.734703541,1.695393682,1.595296621,1.529039383,1.543699265,1.465316772,0.445770085,0.443273723,0.433589369,0.43317014,0.44022423,0.436700612,38.80194238,79.38348347,49.57305028,42.70772924,39.97706387,168.221041,176.097223,65.09821145,64.34226673,62.72047222,59.85188086,58.03153733,57.36770548,57.47186632,1344.18389,1304.097391,1291.01244,1212.907775,890.7596374,1116.561144,871.3954755,45.7782689,41.69661874,25.24161212,28.09541394,32.9741696,25.62380872,25.27273914,907.3012162,0,0,0,0,0,0,0
18139,1.062785983,1.100253582,1.097804785,1.084480643,1.088997006,1.126185417,1.551682234,1.462965965,1.391894937,1.38433671,1.355316043,1.373281837,0.451900005,0.418072253,0.40921703,0.409467578,0.404562265,0.401925266,14.25225413,29.77902805,16.49939137,12.15608839,13.6173001,37.4958972,45.1497892,78.89144907,78.35413871,76.70525854,73.97510063,72.41252967,71.56631231,72.63058623,1523.132521,1501.255677,1457.675663,1381.714496,1181.325292,1299.894984,1216.170141,30.23229951,25.61685933,20.775209,21.83896687,22.96266385,20.09817835,20.14931882,2818.490092,0,0,0,0,0,0,0
18141,1.243924379,1.276544571,1.286124825,1.261996388,1.276244283,1.383865237,1.490428209,1.442834377,1.338109374,1.303954005,1.212119818,1.271412015,0.448357493,0.425436825,0.419822723,0.414398909,0.398363262,0.392637461,18.99239568,29.77094165,16.92217171,13.68806472,18.06631317,33.67743695,38.78780441,80.1357498,79.75964715,78.33908581,75.46877306,73.33645549,72.6570008,75.07961508,1545.646351,1526.730265,1492.589639,1431.384186,1224.446063,1343.167474,1272.949928,29.0625822,22.64256616,19.34627105,19.85886127,21.17613472,18.68606255,18.67592622,3082.229415,0,0,0,0,0,0,0
18142,1.171508789,1.204428554,1.211290956,1.198750973,1.205372572,1.2636621,1.52520287,1.466258883,1.38439393,1.375772238,1.334146976,1.342978001,0.450594097,0.423339784,0.415617585,0.41386658,0.405116916,0.397870988,16.86546573,31.25095236,18.39898052,13.21844037,16.40487719,38.41508247,45.86159157,79.70670254,79.27486371,77.90447652,75.05294241,73.2441641,72.42504193,73.97333659,1534.384645,1511.781783,1471.338744,1401.400702,1205.929899,1314.171076,1236.56091,29.37840718,24.88859379,20.02129927,21.10303676,22.33178991,19.50753075,19.23942899,2813.757461,72.81999969,51.5,20.85000038,31.51000023,47.63999939,7.316999912,11.22000027
18144,1.132155895,1.165429235,1.158868194,1.15919292,1.173505545,1.243369341,1.490585804,1.424344778,1.355979085,1.337240577,1.278955221,1.305494428,0.456257373,0.428922206,0.423525274,0.417784691,0.406659067,0.399487138,13.34351241,28.59885359,17.11732962,12.29139875,12.31227635,40.5372509,46.58961125,79.4929119,79.11215466,77.91987739,75.01457488,73.29809219,72.26577257,72.65801978,1536.004595,1512.373333,1466.56742,1393.656549,1228.914511,1316.428057,1234.568773,29.26798167,26.50799004,21.67916969,22.86508761,23.7244956,20.86471507,20.85434926,2641.705715,80.42179108,52.60571289,21.05375099,31.58660507,47.35607147,7.406964302,9.746981621
18148,1.227584124,1.258611202,1.265749097,1.242134571,1.251938343,1.329300523,1.542188525,1.485612988,1.380024076,1.364126444,1.299142003,1.344660997,0.449026406,0.423126519,0.413416386,0.412537217,0.401787937,0.398330629,23.15534115,42.19995313,27.26872575,22.47541757,22.76097022,62.70898238,85.56890734,77.11987538,76.68585096,75.26042844,72.65614403,71.12350087,70.39100108,71.66012793,1510.168564,1488.647308,1446.411196,1371.601776,1099.841264,1260.570856,1145.425105,35.93050922,30.24531995,21.62114361,23.92252764,25.54099694,20.64302059,20.49846985,2669.260071,61.05356979,52.90315247,16.32719612,40.81561279,42.85702515,13.59714031,8.996930122
18150,1.472634435,1.489534378,1.43561244,1.451848626,1.455078721,1.49766922,1.734541893,1.703094959,1.645728946,1.577495694,1.535329342,1.534583092,0.435529262,0.426812083,0.412759542,0.403106809,0.392887712,0.387630522,18.85575608,31.17105263,20.30531673,15.45988616,17.59038267,39.77210872,50.74394973,80.12613201,79.68844335,78.53891041,76.26840341,74.81187754,74.17817499,75.36862685,1534.358311,1516.846533,1475.868746,1415.790057,1256.515331,1333.686102,1263.908512,29.01610373,25.05811604,19.37826531,20.92636258,21.74797366,18.18235839,18.08892111,2998.55808,94.78113556,51.85604858,14.2245512,47.28701019,38.48654938,14.27159882,2.542715788
18153,1.594451785,1.626881957,1.613763332,1.656358957,1.658991694,1.723190427,1.736161828,1.683109522,1.64121747,1.639222264,1.594736457,1.496241689,0.477958053,0.473268032,0.462529361,0.457649916,0.451611221,0.424179316,23.05902226,37.08414102,26.03970526,20.52355397,21.4315625,44.43541348,55.61263104,80.46307317,80.33120784,78.95615825,76.42450264,74.95808536,74.35960438,76.3123335,1542.885224,1525.855098,1493.808763,1435.322366,1309.989316,1358.043615,1299.359576,32.23913167,27.13121351,21.88817095,23.37133707,24.62033101,20.78932154,20.62214476,3809.090461,71,51.6948204,14.57600021,38.06518555,47.35889053,20.74395943,0.879329681
18154,1.327590227,1.342047811,1.386473417,1.406913757,1.405591846,1.435581207,1.454196334,1.455145597,1.436658025,1.448288679,1.45538497,1.308258057,0.476596385,0.474422127,0.468784183,0.466855198,0.456632763,0.426512122,37.58767773,47.90047393,45.00947867,39.33649289,36.70616114,62.99052133,90.21327014,81.85781991,81.71563981,80.59241706,78.1042654,77.42180095,76.67061611,78.51184834,1543.495261,1512.158768,1473.523697,1421.007109,1310.914692,1353.490521,1289.018957,36.46445498,30.27014218,22.30331754,24.18483412,25.58767773,21.44312796,21.05687204,4856.452607,102.9499969,50.95999908,14.52999973,32.93000031,52.54000092,4.34800005,2.036999941
18155,1.218946218,1.258134723,1.287023783,1.286869884,1.268694043,1.279504657,1.615422726,1.553444266,1.490131378,1.514602542,1.487904906,1.413717389,0.466066539,0.435934693,0.416823059,0.419097275,0.416080296,0.405943364,18.37731504,37.48586676,20.7488198,16.38966027,16.24279917,66.74428801,88.29448212,76.90056998,76.52041214,74.72063624,71.9427096,70.2484289,69.70792127,70.05875189,1524.589175,1494.112242,1450.937789,1372.725557,1071.804014,1290.895528,1151.590856,35.44521849,32.45367078,23.44653383,25.64975398,27.39560092,22.35772397,22.45786038,3744.950431,106.1244049,47.21614838,7.471364498,75.81226349,16.71800995,1.038404942,0.586486876
18156,1.224657774,1.248415112,1.241633892,1.279820085,1.263979435,1.272687078,1.650606036,1.631676793,1.583292127,1.552073359,1.508041143,1.458965302,0.460019827,0.446332484,0.431444198,0.418162525,0.407961786,0.408208013,26.5710607,43.34684608,28.67193012,24.72998106,25.04696627,86.05254892,106.5018011,75.56209941,75.2071183,73.69234687,71.32773038,69.78833991,69.31680037,69.38288977,1506.305785,1458.863789,1418.82703,1349.699669,1055.767753,1264.982491,1114.627276,35.84551551,33.91557367,24.57725285,26.57436648,27.80215629,23.9092279,24.09259731,3691.936394,103.8049545,50.37338638,13.77927685,48.74665833,37.47453308,7.936847687,2.012449741
18157,1.299688935,1.358422041,1.263660908,1.345034242,1.332030058,1.411579609,1.779116273,1.740817547,1.601942182,1.530837893,1.545553923,1.561575174,0.457468271,0.446032643,0.388018161,0.385816872,0.382464379,0.416071892,21.12422168,29.91379158,22.36991439,20.53557391,18.79471518,41.7205506,63.09962041,83.5251478,83.44952793,82.47454337,81.03904527,79.52470661,78.93033619,79.18494662,1548.090444,1519.750463,1484.762375,1436.917806,1340.880614,1383.184152,1318.421865,28.06423718,25.62476838,19.64312186,20.99157328,21.13782758,18.06132533,18.27256684,4292.890673,88.77212524,49.66218185,13.49415588,48.5658493,37.93938065,11.9395647,1.11596632
18158,1.287095189,1.322709322,1.358613849,1.437725306,1.440334201,1.589685321,1.733999491,1.758619308,1.639752269,1.543178916,1.591504455,1.626095057,0.429267019,0.42060858,0.374742806,0.356820375,0.385049492,0.428960562,15.83040565,24.12780777,16.77755558,11.95870029,14.61732058,28.78235078,40.81780607,82.91039653,82.58367211,81.88223925,80.61732756,79.2182939,79.2122959,80.60349883,1551.018694,1530.628624,1495.23862,1455.84975,1386.771376,1393.338054,1356.978474,29.1347884,25.14061979,18.30783072,19.40503166,20.23248917,16.6266911,16.56254582,3765.208597,81.77895355,50.29101563,11.88247299,50.5397644,37.57801437,15.54317856,0.776961744
18159,1.524431229,1.569062471,1.534894705,1.593314648,1.511725664,1.611808538,1.884792805,1.857355833,1.768274069,1.736937761,1.737085938,1.727025032,0.459016353,0.449172825,0.405230165,0.403085738,0.405190498,0.426752448,15.96069322,25.6402642,17.67899308,14.70947039,14.2965604,32.93244227,48.99058664,82.83175577,82.75608488,81.86067194,80.50088413,79.40009361,79.02756397,79.24911587,1550.519815,1527.366341,1488.152538,1442.790826,1372.136728,1389.269451,1339.340753,29.27995631,26.10931974,17.1076555,18.34408155,18.798627,15.78640524,15.86696484,4078.106147,91.78914642,48.668293,10.74676418,61.15689468,28.09670448,7.793148518,0.811341345
18160,1.050807834,1.064616084,1.106403947,1.097717762,1.139951468,1.258504033,1.578403473,1.588722706,1.519703984,1.463402152,1.431916356,1.407017708,0.459831774,0.453680307,0.421925813,0.395603269,0.383708298,0.38824302,24.11431599,42.96702615,26.24135742,22.0081947,22.24669584,85.32124629,100.0627193,75.9072926,75.52726434,73.98552438,71.61571845,70.28050117,69.6482165,69.80468007,1522.088166,1490.656882,1441.064131,1366.076646,1080.753064,1285.018628,1132.027755,31.9998414,29.44058364,21.72327633,23.78796966,25.19931371,20.9253727,21.040327,3009.816289,95.37286377,53.82561493,17.24531937,36.95440674,45.80241776,12.14284611,2.989792109
18161,1.047771215,1.052662969,1.102652311,1.136270285,1.178939104,1.216872454,1.432925463,1.409457684,1.353322625,1.319176674,1.336435556,1.318934321,0.459452301,0.440407306,0.408470541,0.414366156,0.410814136,0.401282907,42.13524648,72.83883459,47.36288549,40.33904784,40.87710997,158.6274899,172.7218128,67.48693847,66.77618137,65.10939031,62.09705183,60.30580305,59.80410039,59.83579792,1409.880627,1362.732145,1327.264193,1235.19618,862.5764799,1133.008,909.6567617,45.61242245,43.77723096,27.42792835,30.08217101,34.5380417,27.33311564,27.39996268,1556.435077,96.75684357,54.86295319,27.22605515,29.45303726,43.32133484,9.661009789,8.432706833
18162,0.987605929,0.998429835,0.99798876,1.007802486,1.007801414,1.009144187,1.553783417,1.534465432,1.469138145,1.420733809,1.420568824,1.42030549,0.458666444,0.445756972,0.453323066,0.449157447,0.449123502,0.448806942,41.36530425,69.60377315,46.10581641,38.28276047,39.31871929,154.0764381,163.9573576,67.33258257,66.5546758,64.78078598,62.0516747,60.37803448,59.96467174,60.06897312,1395.505102,1357.220166,1321.281372,1230.879921,858.1951123,1134.374296,914.910025,46.31788472,44.31017589,26.62672549,29.37917223,33.26037035,26.27966564,26.4267371,1808.775537,83.72000122,52.94800568,16.06200409,39.39800262,44.54200745,20.66339684,4.725800037
18163,1.718968391,1.755284667,1.802530408,1.863861442,1.724938154,1.799763083,2.04101634,2.032113075,2.006188154,1.984258056,1.949747324,1.89697361,0.448047221,0.440292418,0.411844641,0.400951535,0.408950537,0.420620859,20.24839744,25.03766026,19.21955128,16.68028846,18.65945513,32.52964744,61.24839744,82.89022436,82.87980769,82.41105769,81.71634615,80.06089744,80.06169872,80.00480769,1551.620994,1521.105769,1489.443109,1454.090545,1410.154647,1401.420673,1357.605769,30.34615385,29.85897436,21.27644231,22.03525641,22.58814103,19.92147436,19.81891026,5361.240385,91.72499847,48.64187622,9.41174984,63.53437424,27.0549984,9.591950417,0.567493618
18164,1.122678876,1.159097314,1.164420724,1.216813922,1.228991151,1.326255679,1.691521049,1.68859756,1.568303466,1.480487347,1.477181792,1.49390614,0.440685749,0.433564544,0.385602802,0.363705039,0.360666305,0.376442969,15.83366377,30.19056271,19.06863951,14.17050844,14.57923246,37.78915685,51.21892011,80.49322762,80.01339794,79.10164079,77.49981647,76.21675293,75.96738612,76.50306501,1530.094575,1512.760379,1464.648809,1407.15325,1282.548416,1340.834765,1274.054766,29.19790405,25.31510847,19.27399699,20.91737327,21.53046654,17.72949014,17.76577469,2500.970671,91.971138,51.71775818,13.78792095,44.89381409,41.31661606,15.44271564,1.702725172
18165,1.320950508,1.35538125,1.436776757,1.468754053,1.435345054,1.523461223,1.75226903,1.772036672,1.685312867,1.647446036,1.66729033,1.651156664,0.436194152,0.427646369,0.38855511,0.377610862,0.390033275,0.41451773,17.88250058,26.99128072,18.77430457,15.68593758,16.31091502,35.08341527,49.58865861,82.62926261,82.47503234,81.82799483,80.5902458,79.66905563,79.4839586,79.58918499,1558.577827,1535.281708,1505.647115,1454.064424,1377.132212,1399.915705,1346.010349,26.14069858,25.66271669,20.24980595,21.33666235,21.59107374,18.87899094,18.89813713,3316.203726,90.07570648,49.91932678,12.07398224,51.28224564,36.64403534,12.94939613,0.882296503
18166,1.229761958,1.264040709,1.294023514,1.363692522,1.395370603,1.553855896,1.705087662,1.729262233,1.653835058,1.571549535,1.565670133,1.528466821,0.444413334,0.438010007,0.404855549,0.381262511,0.390563667,0.41248098,20.32954856,32.82415383,23.09205897,19.67677688,18.80610446,44.66936584,56.38390368,82.3060686,82.12194826,81.3929882,80.06575077,79.52567252,79.26533831,79.28010797,1545.728232,1511.734389,1489.593516,1430.143663,1294.409001,1364.790708,1294.988991,25.72159039,25.30694811,20.96163528,22.41076032,22.45779881,19.74579201,19.76150183,3583.505141,90.72263336,51.06144714,13.39226341,47.27481842,39.33337021,13.39672279,1.068372488
18167,1.191253185,1.217422128,1.293154359,1.331123471,1.342723727,1.531285167,1.660181165,1.702172041,1.59813416,1.560806155,1.607633591,1.560553789,0.428134769,0.420678735,0.381339639,0.368059725,0.388396204,0.406182826,17.55940528,26.84992699,18.09757069,15.60910268,15.97225541,33.032424,44.30861483,82.0457653,81.81816673,81.35039161,80.43326032,79.50192486,79.1613567,79.32891942,1569.527247,1551.267191,1503.618943,1451.33174,1377.816541,1394.858987,1342.845579,23.1650073,21.91079251,17.24943582,18.31179477,18.4170981,16.15305987,16.06225939,2297.974048,84.34806061,50.70933533,12.91078091,45.59864807,41.49091721,15.87904739,0.93235606
18168,1.13722527,1.159188271,1.137445211,1.147745013,1.21681273,1.358079314,1.628393769,1.645795107,1.607491136,1.548066497,1.470978022,1.340708256,0.474146426,0.470536292,0.452174842,0.422798067,0.399498641,0.382610232,19.59528918,37.27490516,22.67036467,18.46626338,18.02162398,67.4344774,76.58206614,78.3292111,78.05887624,76.9976103,74.83935239,73.92255877,73.3139917,73.48888789,1532.556024,1501.88988,1458.327673,1390.767049,1120.273397,1302.034143,1177.477298,29.65969173,27.44777011,20.72699167,22.73977656,23.76518207,19.86831257,19.86580339,2927.641366,101.9993896,53.63589859,17.14315796,39.3202858,43.53848267,9.462105751,2.044279575
18169,1.025548339,1.04061079,1.113123775,1.100684762,1.094360828,1.147039413,1.517686129,1.481828928,1.424275517,1.371913314,1.333888292,1.276659608,0.433376402,0.420985371,0.377996743,0.352697104,0.338406235,0.340987682,50.63855422,86.93551108,57.40883021,49.84813929,51.38187981,169.2460731,180.4202251,67.18468206,66.56952121,64.78211356,62.02084182,60.6595788,60.01861656,60.21867183,1342.913666,1303.581913,1283.31606,1206.612237,873.8591977,1109.986997,899.3194921,45.40485194,43.72616208,29.41749084,32.16514922,35.92825353,29.83108383,29.54296352,1319.701084,75.67791748,53.1517067,18.41662407,37.56146622,44.02545547,13.49269867,6.720112801
